rank,id,mallName,category,title,purchaseUrl,imageField,imageSourceHint,imageSearchUrl
1,d011,SSG닷컴,식품,프리미엄 한우 불고기 600g,https://www.ssg.com/item/itemView.ssg?itemId=1000377767271,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=SSG%EB%8B%B7%EC%BB%B4%20%ED%94%84%EB%A6%AC%EB%AF%B8%EC%97%84%20%ED%95%9C%EC%9A%B0%20%EB%B6%88%EA%B3%A0%EA%B8%B0%20600g%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
2,d013,하이마트,가전,삼성 55형 4K UHD TV,https://www.e-himart.co.kr/app/goods/goodsDetail?goodsNo=0026982316,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%ED%95%98%EC%9D%B4%EB%A7%88%ED%8A%B8%20%EC%82%BC%EC%84%B1%2055%ED%98%95%204K%20UHD%20TV%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
3,d014,쿠팡,전자기기,애플워치 호환 스포츠 밴드,https://www.coupang.com/vp/products/7687552147,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EC%BF%A0%ED%8C%A1%20%EC%95%A0%ED%94%8C%EC%9B%8C%EC%B9%98%20%ED%98%B8%ED%99%98%20%EC%8A%A4%ED%8F%AC%EC%B8%A0%20%EB%B0%B4%EB%93%9C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
4,d015,11번가,생활용품,대용량 캡슐세제 80개입,https://www.11st.co.kr/products/7045626876,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=11%EB%B2%88%EA%B0%80%20%EB%8C%80%EC%9A%A9%EB%9F%89%20%EC%BA%A1%EC%8A%90%EC%84%B8%EC%A0%9C%2080%EA%B0%9C%EC%9E%85%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
5,d018,마켓컬리,식품,무항생제 계란 30구,https://www.kurly.com/goods/1001058180,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EB%A7%88%EC%BC%93%EC%BB%AC%EB%A6%AC%20%EB%AC%B4%ED%95%AD%EC%83%9D%EC%A0%9C%20%EA%B3%84%EB%9E%80%2030%EA%B5%AC%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
6,d019,오늘의집,생활용품,원목 수납장 3단,https://store.ohou.se/goods/1306932,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EC%98%A4%EB%8A%98%EC%9D%98%EC%A7%91%20%EC%9B%90%EB%AA%A9%20%EC%88%98%EB%82%A9%EC%9E%A5%203%EB%8B%A8%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
7,d020,무신사,의류,아웃도어 프로덕츠 3PACK 티셔츠,https://www.musinsa.com/products/1893766,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EB%AC%B4%EC%8B%A0%EC%82%AC%20%EC%95%84%EC%9B%83%EB%8F%84%EC%96%B4%20%ED%94%84%EB%A1%9C%EB%8D%95%EC%B8%A0%203PACK%20%ED%8B%B0%EC%85%94%EC%B8%A0%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
8,d021,인터파크투어,여행/티켓,[제주] 제주투어패스 타임제로 자유이용권,https://travel.interpark.com/tna/products/d9e9105d-6144-48f7-9887-0111ba2bebd9,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EC%9D%B8%ED%84%B0%ED%8C%8C%ED%81%AC%ED%88%AC%EC%96%B4%20%5B%EC%A0%9C%EC%A3%BC%5D%20%EC%A0%9C%EC%A3%BC%ED%88%AC%EC%96%B4%ED%8C%A8%EC%8A%A4%20%ED%83%80%EC%9E%84%EC%A0%9C%EB%A1%9C%20%EC%9E%90%EC%9C%A0%EC%9D%B4%EC%9A%A9%EA%B6%8C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
9,d022,올리브영,뷰티,JMW BLDC 에어원 드라이어 MC4B03C,https://www.oliveyoung.co.kr/store/goods/getGoodsDetail.do?goodsNo=A000000188040,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EC%98%AC%EB%A6%AC%EB%B8%8C%EC%98%81%20JMW%20BLDC%20%EC%97%90%EC%96%B4%EC%9B%90%20%EB%93%9C%EB%9D%BC%EC%9D%B4%EC%96%B4%20MC4B03C%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
10,d023,아이프라브,기타,확장형 5휠 밸런스 큐브 캐리어 24인치,https://ipraves.co.kr/product/5%ED%9C%A0-%EB%B0%B8%EB%9F%B0%EC%8A%A4-%EC%BA%90%EB%A6%AC%EC%96%B4-%ED%81%90%EB%B8%8C%ED%98%95-24%ED%98%95%ED%99%95%EC%9E%A5%EA%B0%80%EB%8A%A5/708/,imageUrl,판매처 상세 페이지 또는 공식 제휴 피드 대표 이미지,https://search.shopping.naver.com/search/all?query=%EC%95%84%EC%9D%B4%ED%94%84%EB%9D%BC%EB%B8%8C%20%ED%99%95%EC%9E%A5%ED%98%95%205%ED%9C%A0%20%EB%B0%B8%EB%9F%B0%EC%8A%A4%20%ED%81%90%EB%B8%8C%20%EC%BA%90%EB%A6%AC%EC%96%B4%2024%EC%9D%B8%EC%B9%98%20%EC%83%81%ED%92%88%20%EC%9D%B4%EB%AF%B8%EC%A7%80
